Uploaded Image URL,Author,"Author (Last, First)",Title,Subtitle,Genre,Rating,Loaned To,Date Loaned,Borrowed From,Date Borrowed,Publisher,Status,Notes,Edition,Date Published,Length,Format,Dimensions,Weight,ISBN,Physical Location,Date Added,Date Started,Date Finished,Purchase Date,Purchase Place,Purchase Price,List Price,Google VolumeID,Favorites,Wish List,Category,Series,Volume,Quantity,Summary,Tags
,Bertrand Meyer,"Meyer, Bertrand",Eiffel,the language,Computers,0,,,,,Prentice Hall,Unread,,,,,,,,9780132479257,,2014/03/02,,,,,,,06RQAAAAMAAJ,0,0,,,,,,
,"Dennis Prager, Joseph Telushkin","Prager, Dennis",Eight Questions People Ask about Judaism,,Orthodox Judaism,0,,,,,Tze Ulmad Press,Unread,,,,,,,,,,2014/04/02,,,,,,,ofxCAAAAIAAJ,0,0,,,,,,
,H. Jerome Keisler,"Keisler, H. Jerome",Elementary Calculus,An Infinitesimal Approach,Mathematics,0,,,,,Courier Dover Publications,Unread,,,,,,,,9780486484525,,2014/04/01,,,,,,,eo_u18h2REIC,0,0,,,,,,
,"Thomas M. Cover, Joy A. Thomas","Cover, Thomas M.",Elements of Information Theory,,Computers,0,,,,,Wiley,Unread,,,,,,,,9780471241959,,2014/03/02,,,,,,,8pC0NAEACAAJ,0,0,,,,,,
,Jeffrey D. Ullman,"Ullman, Jeffrey D.",Elements of ML Programming,ML 97 Edition,Computers,0,,,,,Prentice-Hall International,Unread,,,,,,,,9780137903870,,2014/03/02,,,,,,,KIUsQQAACAAJ,0,0,,,,,,
,"Alexander A. Stepanov, Paul McJones","Stepanov, Alexander A.",Elements of Programming,,Computers,0,Randy VanWhy,,,,Addison-Wesley Professional,Unread,,,,,,,,9780321635372,,2014/04/01,,,,,,,tjOlkl7ecVQC,0,0,,,,,,
,Simcha Kling,"Kling, Simcha",Embracing Judaism,,Religion,0,,,,,Rabbinical Assembly,Unread,,,,,,,,9780916219154,,2014/03/03,,,,,,,MIvLPQAACAAJ,0,0,,,,,,
,Jane Austen,"Austen, Jane",Emma,,England,0,,,,,Bantam Books,Unread,,,,,,,,9780553212730,,2014/04/01,,,,,,,nZ0boBNEoCMC,0,0,,,,,,
,Isaac Bashevis Singer,"Singer, Isaac Bashevis",Enemies,A Love Story,,0,,,,,Random House Publishing Group,Unread,,,,,,,,9780449240656,,2014/04/02,,,,,,,Y2JXPwAACAAJ,0,0,,,,,,
,"Keith D. Cooper, Linda Torczon","Cooper, Keith D.",Engineering a Compiler,,Computers,0,,,,,Elsevier,Unread,,,,,,,,9781558606982,,2014/03/02,,,,,,,4yVQFVvsBNAC,0,0,,,,,,
